type,region,name,population,date
район,Минская область,Молодечненский район,136328,2014
город,Минская область,Молодечно,94155,2014
городской поселок,Минская область,Радошковичи,5712,2014
район,Минская область,Мядельский район,27224,2014
город,Минская область,Мядель,6893,2014
городской поселок,Минская область,Кривичи,1227,2014
кп,Минская область,Нарочь,3224,2014
городской поселок,Минская область,Свирь,928,2014
район,Минская область,Несвижский район,39456,2014
город,Минская область,Несвиж,14957,2014
городской поселок,Минская область,Городея,3868,2014
район,Минская область,Пуховичский район,66306,2014
город,Минская область,Марьина Горка,21296,2014
рабочий поселок,Минская область,Правдинский,2319,2014
городской поселок,Минская область,Руденск,2672,2014
городской поселок,Минская область,Свислочь,3968,2014
район,Минская область,Слуцкий район,92591,2014
город,Минская область,Слуцк,62046,2014
район,Минская область,Смолевичский район,43517,2014
город,Минская область,Смолевичи,15605,2014
рабочий поселок,Минская область,Зеленый Бор,1105,2014
район,Минская область,Солигорский район,134759,2014
город,Минская область,Солигорск,105376,2014
городской поселок,Минская область,Красная Слобода,4028,2014
городской поселок,Минская область,Старобин,5772,2014
район,Минская область,Стародорожский район,20434,2014
город,Минская область,Старые Дороги,10727,2014
район,Минская область,Столбцовский район,40238,2014
город,Минская область,Столбцы,16472,2014
район,Минская область,Узденский район,22915,2014
город,Минская область,Узда,9945,2014
район,Минская область,Червенский район,31959,2014
город,Минская область,Червень,9777,2014
городской поселок,Минская область,Смиловичи,4909,2014
город,Минская область,Жодино,63157,2014
область,Могилевская область,Могилевская область,1072545,2014
район,Могилевская область,Белыничский район,20027,2014
городской поселок,Могилевская область,Белыничи,10430,2014
район,Могилевская область,Бобруйский район,17978,2014
рабочий поселок,Могилевская область,Глуша,0,2014
район,Могилевская область,Быховский район,31672,2014
город,Могилевская область,Быхов,16789,2014
район,Могилевская область,Глусский район,14690,2014
городской поселок,Могилевская область,Глуск,7249,2014
район,Могилевская область,Горецкий район,45249,2014
город,Могилевская область,Горки,31988,2014
район,Могилевская область,Дрибинский район,10767,2014
городской поселок,Могилевская область,Дрибин,3141,2014
район,Могилевская область,Кировский район,20449,2014
город,Могилевская область,Кировск,8594,2014
район,Могилевская область,Климовичский район,26009,2014
город,Могилевская область,Климовичи,16263,2014
район,Могилевская область,Кличевский район,15638,2014
город,Могилевская область,Кличев,7382,2014
район,Могилевская область,Костюковичский район,24412,2014
город,Могилевская область,Костюковичи,15872,2014
район,Могилевская область,Краснопольский район,10125,2014
городской поселок,Могилевская область,Краснополье,5921,2014
район,Могилевская область,Кричевский район,33165,2014
город,Могилевская область,Кричев,26369,2014
район,Могилевская область,Круглянский район,14612,2014
городской поселок,Могилевская область,Круглое,7469,2014
район,Могилевская область,Могилевский район,40120,2014
район,Могилевская область,Мстиславский район,22715,2014
город,Могилевская область,Мстиславль,10541,2014
район,Могилевская область,Осиповичский район,49195,2014
город,Могилевская область,Осиповичи,31487,2014
рабочий поселок,Могилевская область,Елизово,2543,2014
рабочий поселок,Могилевская область,Татарка,734,2014
район,Могилевская область,Славгородский район,13645,2014
город,Могилевская область,Славгород,7703,2014
район,Могилевская область,Хотимский район,11615,2014
городской поселок,Могилевская область,Хотимск,6704,2014
район,Могилевская область,Чаусский район,19394,2014
город,Могилевская область,Чаусы,10651,2014
район,Могилевская область,Чериковский район,13965,2014
город,Могилевская область,Чериков,8222,2014
район,Могилевская область,Шкловский район,28753,2014
город,Могилевская область,Шклов,16290,2014
город,Могилевская область,Могилев,370690,2014
город,Могилевская область,Бобруйск,217660,2014
Республика Беларусь,Республика Беларусь,Республика Беларусь,9480868,2015
область,Брестская область,Брестская область,1388931,2015
район,Брестская область,Барановичский район,32479,2015
городской поселок,Брестская область,Городище,2051,2015
район,Брестская область,Березовский район,64217,2015
город,Брестская область,Береза,29500,2015
город,Брестская область,Белоозерск,12606,2015
район,Брестская область,Брестский район,40418,2015
городской поселок,Брестская область,Домачево,1218,2015
район,Брестская область,Ганцевичский район,28480,2015
город,Брестская область,Ганцевичи,14043,2015
район,Брестская область,Дрогичинский район,38357,2015
город,Брестская область,Дрогичин,14800,2015
городской поселок,Брестская область,Антополь,1458,2015
район,Брестская область,Жабинковский район,24543,2015
город,Брестская область,Жабинка,13353,2015
район,Брестская область,Ивановский район,40062,2015
город,Брестская область,Иваново,16597,2015
район,Брестская область,Ивацевичский район,55679,2015
город,Брестская область,Ивацевичи,23394,2015
город,Брестская область,Коссово,1905,2015
городской поселок,Брестская область,Телеханы,3994,2015
район,Брестская область,Каменецкий район,36182,2015
город,Брестская область,Каменец,8425,2015
город,Брестская область,Высокое,5226,2015
район,Брестская область,Кобринский район,85928,2015
город,Брестская область,Кобрин,52711,2015
район,Брестская область,Лунинецкий район,68610,2015
город,Брестская область,Лунинец,24220,2015
город,Брестская область,Микашевичи,12855,2015
район,Брестская область,Ляховичский район,26695,2015
город,Брестская область,Ляховичи,10873,2015
район,Брестская область,Малоритский район,24592,2015
город,Брестская область,Малорита,11808,2015
район,Брестская область,Пинский район,47241,2015
городской поселок,Брестская область,Логишин,2059,2015
район,Брестская область,Пружанский район,48670,2015
город,Брестская область,Пружаны,18619,2015
городской поселок,Брестская область,Ружаны,3005,2015
городской поселок,Брестская область,Шерешево,1803,2015
район,Брестская область,Столинский район,74725,2015
город,Брестская область,Столин,12756,2015
город,Брестская область,Давид-Городок,6058,2015
рабочий поселок,Брестская область,Речица,6095,2015
город,Брестская область,Брест,335645,2015
город,Брестская область,Барановичи,178889,2015
город,Брестская область,Пинск,137519,2015
область,Витебская область,Витебская область,1198515,2015
район,Витебская область,Бешенковичский район,16105,2015
городской поселок,Витебская область,Бешенковичи,6755,2015
район,Витебская область,Браславский район,26705,2015
город,Витебская область,Браслав,9710,2015
городской поселок,Витебская область,Видзы,1698,2015
район,Витебская область,Верхнедвинский район,22170,2015
город,Витебская область,Верхнедвинск,7259,2015
городской поселок,Витебская область,Освея,1197,2015
район,Витебская область,Витебский район,37487,2015
городской поселок,Витебская область,Сураж,856,2015
городской поселок,Витебская область,Яновичи,790,2015
район,Витебская область,Глубокский район,38100,2015
город,Витебская область,Глубокое,18856,2015
городской поселок,Витебская область,Подсвилье,2021,2015
район,Витебская область,Городокский район,23667,2015
город,Витебская область,Городок,12251,2015
городской поселок,Витебская область,Езерище,1307,2015
район,Витебская область,Докшицкий район,24038,2015
город,Витебская область,Докшицы,6850,2015
городской поселок,Витебская область,Бегомль,2642,2015
район,Витебская область,Дубровенский район,14950,2015
город,Витебская область,Дубровно,7345,2015
район,Витебская область,Лепельский район,33419,2015
город,Витебская область,Лепель,17630,2015
район,Витебская область,Лиозненский район,15924,2015
городской поселок,Витебская область,Лиозно,6675,2015
район,Витебская область,Миорский район,21215,2015
город,Витебская область,Миоры,8156,2015
город,Витебская область,Дисна,1593,2015
район,Витебская область,Оршанский район,158747,2015
городской поселок,Витебская область,Копысь,827,2015
городской поселок,Витебская область,Ореховск,2453,2015
район,Витебская область,Полоцкий район,108643,2015
городской поселок,Витебская область,Ветрино,2256,2015
район,Витебская область,Поставский район,36951,2015
город,Витебская область,Поставы,20070,2015
городской поселок,Витебская область,Воропаево,2615,2015
городской поселок,Витебская область,Лынтупы,1564,2015
район,Витебская область,Россонский район,9797,2015
городской поселок,Витебская область,Россоны,5052,2015
район,Витебская область,Сенненский район,22604,2015
город,Витебская область,Сенно,7498,2015
городской поселок,Витебская область,Богушевск,2675,2015
район,Витебская область,Толочинский район,25702,2015
город,Витебская область,Толочин,9817,2015
городской поселок,Витебская область,Коханово,4255,2015
район,Витебская область,Ушачский район,13969,2015
городской поселок,Витебская область,Ушачи,6036,2015
район,Витебская область,Чашникский район,31811,2015
город,Витебская область,Чашники,8907,2015
город,Витебская область,Новолукомль,13073,2015
район,Витебская область,Шарковщинский район,15903,2015
городской поселок,Витебская область,Шарковщина,6537,2015
район,Витебская область,Шумилинский район,18521,2015
городской поселок,Витебская область,Шумилино,7395,2015
городской поселок,Витебская область,Оболь,2438,2015
город,Витебская область,Витебск,373894,2015
городской поселок,Витебская область,Руба,7595,2015
город,Витебская область,Новополоцк,102261,2015
городской поселок,Витебская область,Боровуха,5476,2015
область,Гомельская область,Гомельская область,1423964,2015
район,Гомельская область,Брагинский район,12430,2015
городской поселок,Гомельская область,Брагин,3785,2015
городской поселок,Гомельская область,Комарин,1813,2015
район,Гомельская область,Буда-Кошелевский,30964,2015
город,Гомельская область,Буда-Кошелево,8572,2015
городской поселок,Гомельская область,Уваровичи,2324,2015
район,Гомельская область,Ветковский район,17812,2015
город,Гомельская область,Ветка,8245,2015
район,Гомельская область,Гомельский район,67656,2015
рабочий поселок,Гомельская область,Большевик,2476,2015
район,Гомельская область,Добрушский район,37054,2015
город,Гомельская область,Добруш,18113,2015
городской поселок,Гомельская область,Тереховка,3182,2015
район,Гомельская область,Ельский район,15877,2015
город,Гомельская область,Ельск,9319,2015
район,Гомельская область,Житковичский район,37035,2015
город,Гомельская область,Житковичи,15850,2015
город,Гомельская область,Туров,2771,2015
район,Гомельская область,Жлобинский район,102159,2015
город,Гомельская область,Жлобин,75700,2015
городской поселок,Гомельская область,Стрешин,1222,2015
район,Гомельская область,Калинковичский район,60624,2015
город,Гомельская область,Калинковичи,39611,2015
городской поселок,Гомельская область,Озаричи,1199,2015
район,Гомельская область,Кормянский район,13825,2015
городской поселок,Гомельская область,Корма,7588,2015
район,Гомельская область,Лельчицкий район,24968,2015
городской поселок,Гомельская область,Лельчицы,11070,2015
район,Гомельская область,Лоевский район,12535,2015
городской поселок,Гомельская область,Лоев,6793,2015
район,Гомельская область,Мозырский район,131812,2015
город,Гомельская область,Мозырь,112493,2015
район,Гомельская область,Наровлянский район,10693,2015
город,Гомельская область,Наровля,7991,2015
район,Гомельская область,Октябрьский район,14347,2015
городской поселок,Гомельская область,Октябрьский,6933,2015
район,Гомельская область,Петриковский район,29109,2015
город,Гомельская область,Петриков,10363,2015
городской поселок,Гомельская область,Копаткевичи,3048,2015
район,Гомельская область,Речицкий район,99856,2015
город,Гомельская область,Речица,65624,2015
город,Гомельская область,Василевичи,3450,2015
городской поселок,Гомельская область,Заречье,2280,2015
район,Гомельская область,Рогачевский район,58331,2015
город,Гомельская область,Рогачев,34828,2015
рабочий поселок,Гомельская область,Белицк,0,2015
район,Гомельская область,Светлогорский район,85492,2015
город,Гомельская область,Светлогорск,68593,2015
городской поселок,Гомельская область,Паричи,1853,2015
рабочий поселок,Гомельская область,Сосновый Бор,2140,2015
район,Гомельская область,Хойникский район,19890,2015
город,Гомельская область,Хойники,12896,2015
район,Гомельская область,Чечерский район,14624,2015
город,Гомельская область,Чечерск,8109,2015
город,Гомельская область,Гомель,526871,2015
рабочий поселок,Гомельская область,Костюковка,9895,2015
область,Гродненская область,Гродненская область,1052588,2015
район,Гродненская область,Берестовицкий район,15950,2015
городской поселок,Гродненская область,Большая Берестовица,5587,2015
район,Гродненская область,Волковысский район,71271,2015
город,Гродненская область,Волковыск,44084,2015
городской поселок,Гродненская область,Красносельский,6810,2015
городской поселок,Гродненская область,Россь,4766,2015
район,Гродненская область,Вороновский район,26953,2015
городской поселок,Гродненская область,Вороново,6200,2015
городской поселок,Гродненская область,Радунь,2426,2015
район,Гродненская область,Гродненский район,49830,2015
город,Гродненская область,Скидель,10554,2015
городской поселок,Гродненская область,Сопоцкин,1027,2015
район,Гродненская область,Дятловский район,25875,2015
город,Гродненская область,Дятлово,7764,2015
городской поселок,Гродненская область,Козловщина,1708,2015
городской поселок,Гродненская область,Новоельня,2752,2015
район,Гродненская область,Зельвенский район,16053,2015
городской поселок,Гродненская область,Зельва,6971,2015
район,Гродненская область,Ивьевский район,24758,2015
город,Гродненская область,Ивье,7801,2015
городской поселок,Гродненская область,Юратишки,1352,2015
район,Гродненская область,Кореличский район,21025,2015
городской поселок,Гродненская область,Кореличи,6631,2015
городской поселок,Гродненская область,Мир,2237,2015
район,Гродненская область,Лидский район,132291,2015
город,Гродненская область,Лида,99976,2015
город,Гродненская область,Березовка,10533,2015
район,Гродненская область,Мостовский район,29342,2015
город,Гродненская область,Мосты,15749,2015
район,Гродненская область,Новогрудский район,46098,2015
город,Гродненская область,Новогрудок,29245,2015
городской поселок,Гродненская область,Любча,1081,2015
район,Гродненская область,Островецкий район,23826,2015
город,Гродненская область,Островец,9166,2015
район,Гродненская область,Ошмянский район,31190,2015
город,Гродненская область,Ошмяны,16191,2015
район,Гродненская область,Свислочский район,16401,2015
город,Гродненская область,Свислочь,6701,2015
городской поселок,Гродненская область,Порозово,922,2015
район,Гродненская область,Слонимский район,65371,2015
город,Гродненская область,Слоним,49334,2015
район,Гродненская область,Сморгонский район,53113,2015
город,Гродненская область,Сморгонь,37321,2015
район,Гродненская область,Щучинский район,41889,2015
город,Гродненская область,Щучин,15471,2015
городской поселок,Гродненская область,Желудок,1057,2015
городской поселок,Гродненская область,Острино,1847,2015
город,Гродненская область,Гродно,361352,2015
город,Минская область,Минск,1938280,2015
область,Минская область,Минская область,1407895,2015
район,Минская область,Березинский район,22937,2015
город,Минская область,Березино,11914,2015
район,Минская область,Борисовский район,183010,2015
город,Минская область,Борисов,144945,2015
район,Минская область,Вилейский район,48674,2015
город,Минская область,Вилейка,26890,2015
район,Минская область,Воложинский район,34061,2015
город,Минская область,Воложин,10488,2015
городской поселок,Минская область,Ивенец,4241,2015
район,Минская область,Дзержинский район,63205,2015
город,Минская область,Дзержинск,26972,2015
город,Минская область,Фаниполь,14223,2015
район,Минская область,Клецкий район,29022,2015
город,Минская область,Клецк,11237,2015
район,Минская область,Копыльский район,29062,2015
город,Минская область,Копыль,9733,2015
район,Минская область,Крупский район,23587,2015
город,Минская область,Крупки,8602,2015
городской поселок,Минская область,Бобр,958,2015
городской поселок,Минская область,Холопеничи,1393,2015
район,Минская область,Логойский район,35145,2015
город,Минская область,Логойск,12376,2015
городской поселок,Минская область,Плещеницы,5829,2015
район,Минская область,Любанский район,32478,2015
город,Минская область,Любань,11114,2015
городской поселок,Минская область,Уречье,3008,2015
район,Минская область,Минский район,188294,2015
город,Минская область,Заславль,14880,2015
городской поселок,Минская область,Мачулищи,7967,2015
район,Минская область,Молодечненский район,136797,2015
город,Минская область,Молодечно,94686,2015
городской поселок,Минская область,Радошковичи,5828,2015
район,Минская область,Мядельский район,26890,2015
город,Минская область,Мядель,6924,2015
городской поселок,Минская область,Кривичи,1208,2015
кп,Минская область,Нарочь,3299,2015
городской поселок,Минская область,Свирь,915,2015
район,Минская область,Несвижский район,39287,2015
город,Минская область,Несвиж,15271,2015
городской поселок,Минская область,Городея,3849,2015
район,Минская область,Пуховичский район,65984,2015
город,Минская область,Марьина Горка,21384,2015
рабочий поселок,Минская область,Правдинский,2311,2015
городской поселок,Минская область,Руденск,2668,2015
городской поселок,Минская область,Свислочь,3947,2015
район,Минская область,Слуцкий район,92379,2015
город,Минская область,Слуцк,62192,2015
район,Минская область,Смолевичский район,43866,2015
город,Минская область,Смолевичи,15861,2015
рабочий поселок,Минская область,Зеленый Бор,1111,2015
район,Минская область,Солигорский район,134647,2015
город,Минская область,Солигорск,105998,2015
городской поселок,Минская область,Красная Слобода,3951,2015
городской поселок,Минская область,Старобин,5809,2015
район,Минская область,Стародорожский район,20109,2015
город,Минская область,Старые Дороги,10606,2015
район,Минская область,Столбцовский район,39917,2015
город,Минская область,Столбцы,16690,2015
район,Минская область,Узденский район,23066,2015
город,Минская область,Узда,10102,2015
район,Минская область,Червенский район,31918,2015
город,Минская область,Червень,9752,2015
городской поселок,Минская область,Смиловичи,5079,2015
город,Минская область,Жодино,63560,2015
область,Могилевская область,Могилевская область,1070695,2015
район,Могилевская область,Белыничский район,19574,2015
городской поселок,Могилевская область,Белыничи,10316,2015
район,Могилевская область,Бобруйский район,17582,2015
рабочий поселок,Могилевская область,Глуша,0,2015
район,Могилевская область,Быховский район,30970,2015
город,Могилевская область,Быхов,16934,2015
район,Могилевская область,Глусский район,14349,2015
городской поселок,Могилевская область,Глуск,7236,2015
район,Могилевская область,Горецкий район,45764,2015
город,Могилевская область,Горки,32943,2015
район,Могилевская область,Дрибинский район,10480,2015
городской поселок,Могилевская область,Дрибин,3092,2015
район,Могилевская область,Кировский район,20012,2015
город,Могилевская область,Кировск,8752,2015
район,Могилевская область,Климовичский район,25661,2015
город,Могилевская область,Климовичи,16374,2015
район,Могилевская область,Кличевский район,15395,2015
город,Могилевская область,Кличев,7407,2015
район,Могилевская область,Костюковичский район,23989,2015
город,Могилевская область,Костюковичи,15887,2015
район,Могилевская область,Краснопольский район,9969,2015
городской поселок,Могилевская область,Краснополье,5936,2015
район,Могилевская область,Кричевский район,32896,2015
город,Могилевская область,Кричев,26385,2015
район,Могилевская область,Круглянский район,14386,2015
городской поселок,Могилевская область,Круглое,7592,2015
район,Могилевская область,Могилевский район,40181,2015
район,Могилевская область,Мстиславский район,22098,2015
город,Могилевская область,Мстиславль,10437,2015
район,Могилевская область,Осиповичский район,48719,2015
город,Могилевская область,Осиповичи,31494,2015
рабочий поселок,Могилевская область,Елизово,2515,2015
рабочий поселок,Могилевская область,Татарка,715,2015
район,Могилевская область,Славгородский район,13388,2015
город,Могилевская область,Славгород,7725,2015
район,Могилевская область,Хотимский район,11338,2015
городской поселок,Могилевская область,Хотимск,6616,2015
район,Могилевская область,Чаусский район,18936,2015
город,Могилевская область,Чаусы,10486,2015
район,Могилевская область,Чериковский район,13767,2015
город,Могилевская область,Чериков,8184,2015
район,Могилевская область,Шкловский район,28323,2015
город,Могилевская область,Шклов,16359,2015
город,Могилевская область,Могилев,374655,2015
город,Могилевская область,Бобруйск,218263,2015
город,Витебская область,Орша,115938,2017
городской поселок,Гродненская область,Поречье,2800,2016
деревня,Минская область,Турец-Бояры,1582,
город,Витебская область,Полоцк,84597,2018
городской поселок,Минская область,Морочь,1191,
городской поселок,Брестская область,Дивин,3035,2016
городской поселок,Минская область,Гацук,1200,
городской поселок,Минская область,Негорелое,814,2017
городской поселок,Минская область,Сеница,6424,2011
городской поселок,Брестская область,Большие Мотыкалы,2378,2009
деревня,Минская область,Боровляны,16708,2018
деревня,Витебская область,Летцы,411,2010
городской поселок,Брестская область,Мухавец,2178,2009
городской поселок,Минская область,Прилуки,1514,2009
городской поселок,Минская область,Михановичи,10000,
деревня,Минская область,Энергетиков,2816,2017
деревня,Минская область,Кривая Береза,3000,
деревня,Минская область,Слобода Озерицкая,1817,
деревня,Минская область,Озерицкая Слобода,1817,
деревня,Брестская область,Сосновка,191,
городской поселок,Минская область,Колодищи,17556,2019
городской поселок,Минская область,Лесной,19371,2018
деревня,Минская область,Копище,8000,2017
городской поселок,Минская область,Гатово,8000,2009
деревня,Минская область,Большой Тростенец,2523,
деревня,Минская область,Чисть,5422,2010
деревня,Минская область,Альба,329,2009
городской поселок,Минская область,Ратомка,4830,2010
город,Витебская область,Барань,11343,2016
деревня,Минская область,Аксаковщина,870,
городской поселок,Минская область,Ждановичи,7815,
деревня,Гомельская область,Загорье,290,2004
деревня,Минская область,Марьино,21280,2016
деревня,Минская область,Колядичи,503,
деревня,Минская область,Дуброво,37,
деревня,Минская область,Боровики,302,
деревня,Минская область,Литвинково,2,
деревня,Минская область,Дружный,9038,2016
деревня,Минская область,Боровая,320,
деревня,Минская область,Новое Поле,1016,
деревня,Минская область,Богатырево,260,
деревня,Гомельская область,Урицкое,2777,2004
деревня,Минская область,Озерцо,1320,2010
деревня,Витебская область,Богатырская,200,
городской поселок,Минская область,Долгиново,1165,
деревня,Гомельская область,Семенча,1005,2004
городской поселок,Гродненская область,Бенякони,1319,
деревня,Гомельская область,Сосновый,2086,2016
деревня,Минская область,Сосны,1074,
деревня,Витебская область,Осинторф,950,2001
деревня,Брестская область,Верховичи,531,
деревня,Брестская область,Свищево,238,2009
деревня,Брестская область,Подлесье,294,
деревня,Брестская область,Дворцы,300,
деревня,Брестская область,Юголин,189,2009
деревня,Минская область,Ельница,587,2010
городской поселок,Брестская область,Ленинский,1705,2009
деревня,Минская область,Новоселки,2000,
деревня,Минская область,Светлый Бор,666,
городской поселок,Минская область,Деревная,1406,2009
деревня,Минская область,Натальевск,770,
деревня,Минская область,Крупский,1152,
городской поселок,Минская область,Ухвала,791,2010
городской поселок,Брестская область,Ореховский,984,2016
деревня,Витебская область,Юрцево,570,2018
деревня,Брестская область,Федьковичи,183,2009
городской поселок,Минская область,Танежицы,540,
городской поселок,Брестская область,Большие Яковчицы,301,2019
городской поселок,Брестская область,Войская,837,
городской поселок,Гродненская область,Малая Берестовица,1174,2009
городской поселок,Витебская область,Бочейково,1000,
деревня,Гомельская область,Березки,2710,2004
городской поселок,Брестская область,Белоуша,2734,2015
деревня,Брестская область,Туховичи,400,
городской поселок,Могилевская область,Ковали,786,2012
деревня,Гомельская область,Пиревичи,1283,2004
деревня,Минская область,Станьково,1692,
город,Могилевская область,Цель,700,
городской поселок,Могилевская область,Восход,1662,2007
деревня,Могилевская область,Годылево,960,2009
городской поселок,Витебская область,Смольяны,998,2018
деревня,Брестская область,Павлиново,219,2010
деревня,Минская область,Солнечный,300,
деревня,Минская область,Толкачевичи 1-е,300,
деревня,Витебская область,Зубки,500,
деревня,Витебская область,Заслоново,500,
городской поселок,Минская область,Турин,363,2009
городской поселок,Брестская область,Пелище,1378,
деревня,Минская область,Швабы,500,
деревня,Брестская область,Замшаны,490,
деревня,Витебская область,Должа,628,2009
деревня,Минская область,Королево,25,
деревня,Витебская область,Азино,100,
городской поселок,Гродненская область,Цирин,500,2009
деревня,Минская область,Недреска,59,
деревня,Витебская область,Боровка,2500,
городской поселок,Брестская область,Дарево-Чиж,45,2009
деревня,Минская область,Кленник,251,
деревня,Брестская область,Велика Малая,100,
деревня,Минская область,Куль,783,2009
городской поселок,Минская область,Лошница,6644,2013
городской поселок,Могилевская область,Дашковка,1528,2005
городской поселок,Брестская область,Городец,1376,2016
городской поселок,Минская область,,,
городской поселок,Минская область,Самохваловичи,2549,
деревня,Гомельская область,Зябровка,815,2004
деревня,Могилевская область,Верейцы,247,2007
городской поселок,Могилевская область,Лапичи,2000,
деревня,Могилевская область,Никитиничи,456,2010
деревня,Витебская область,Жерносеки,100,
деревня,Брестская область,Оберовщина,100,
городской поселок,Минская область,Пуховичи,1825,2009
деревня,Минская область,Юзуфово,686,
деревня,Брестская область,Макарово,403,2010
деревня,Минская область,Усяж,1613,
деревня,Минская область,Лужки,342,
городской поселок,Брестская область,Доманово,1091,
деревня,Минская область,Седча,548,
городской поселок,Гродненская область,Правые Мосты,4319,
деревня,Минская область,Новосады,8,
деревня,Минская область,Новый Двор,717,
деревня,Минская область,Бровки,484,
городской поселок,Гродненская область,Верейки,984,2009
городской поселок,Минская область,Лошаны,654,2010
деревня,Минская область,Черницкий,526,
деревня,Минская область,Дещенка,100,
городской поселок,Витебская область,Болбасово,3529,2016
городской поселок,Витебская область,Бабиничи,894,2009
деревня,Гродненская область,Гезгалы,1500,
городской поселок,Минская область,Величковичи,1215,
деревня,Гомельская область,Терешковичи,1777,2004
деревня,Минская область,Неман,200,
деревня,Гродненская область,Жировичи,2570,2005
деревня,Брестская область,Ратайчицы,305,2009
городской поселок,Минская область,Большевик,3636,
деревня,Минская область,Заречье,1000,
деревня,Минская область,Загорье,100,
деревня,Минская область,Ганцевичи,866,
деревня,Брестская область,Зеленый Бор,864,
деревня,Брестская область,Мир,2339,
город,Минская область,Вилейка,26831,2016
деревня,Витебская область,Вилейка,200,
деревня,Брестская область,Заболотье,200,
деревня,Гомельская область,Мышанка,1691,2018
деревня,Минская область,Аннополь,200,
городской поселок,Гродненская область,Обухово,1962,2010
деревня,Витебская область,Обухово,200,
городской поселок,Минская область,Крайск,354,2009
деревня,Витебская область,Хайсы,530,
деревня,Минская область,Старые Новоселки,500,
деревня,Минская область,Городище,700,
деревня,Минская область,Чачково,1047,
деревня,Минская область,Лапоровичи,220,
деревня,Витебская область,Кировская,200,
деревня,Витебская область,Антоновка,500,
городской поселок,Минская область,Заостровечье,1938,2009
деревня,Брестская область,Великорита,348,2009
городской поселок,Минская область,Греск,1700,
городской поселок,Минская область,Снов,2626,2012
деревня,Гродненская область,Горани,35,1999
деревня,Минская область,Горани,128,
деревня,Гомельская область,Приднепровский,736,2004
городской поселок,Минская область,Слобода,2452,
городской поселок,Гомельская область,Новая Гута,2160,2019
городской поселок,Минская область,Березинское,1645,
деревня,Брестская область,Вельямовичи,496,2009
деревня,Могилевская область,Туголица,1270,2010
деревня,Минская область,Привольный,2000,
деревня,Минская область,Гребенка,22,
городской поселок,Брестская область,Хотислав,988,2009
деревня,Минская область,Большая Ухолода,1302,
деревня,Минская область,Новоколосово,1000,
городской поселок,Брестская область,Вистычи,697,2009
городской поселок,Брестская область,Черни,2685,2009
городской поселок,Минская область,Гостиловичи,523,2009
городской поселок,Витебская область,Лужесно,1850,2010
деревня,Гомельская область,Околица,75,2004
деревня,Минская область,Околица,100,
городской поселок,Минская область,Бояры,360,2009
городской поселок,Минская область,Раков,2155,2008
городской поселок,Минская область,Новогородейский,781,
деревня,Минская область,Хатежино,1810,2011
деревня,Минская область,Валерьяново,1741,2009
деревня,Брестская область,Малые Радваничи,500,
деревня,Минская область,Августово,406,
деревня,Минская область,Красное,2916,2011
деревня,Гомельская область,Красное,3788,2004
городской поселок,Минская область,Петришки,2005,
деревня,Минская область,Гатовичи,134,
деревня,Минская область,Скирмантово,617,
деревня,Брестская область,Тельмы-1,2000,
городской поселок,Брестская область,Страдечь,1579,2009
городской поселок,Брестская область,Знаменка,1324,2009
городской поселок,Минская область,Зазерье,905,
деревня,Минская область,Прилепы,476,
городской поселок,Минская область,Октябрьский,2591,
городской поселок,Минская область,Озерный,500,
деревня,Минская область,Комсомолец,368,
деревня,Минская область,Волма,297,
городской поселок,Минская область,Луговая Слобода,1352,2010
деревня,Брестская область,Ковердяки,500,
городской поселок,Могилевская область,Вейно,3191,2016
деревня,Минская область,Пекалин,659,
деревня,Гродненская область,Дитва,500,
деревня,Минская область,Присынок,268,
городской поселок,Минская область,Атолино,1418,
деревня,Брестская область,Жемчужный,1000,
городской поселок,Минская область,Новоселье,1231,
городской поселок,Минская область,Заболотье,704,
деревня,Минская область,Новые Зеленки,500,
деревня,Минская область,Лесковка,3544,2018
деревня,Гродненская область,Новая Гожа,822,2010
деревня,Минская область,Крылово,7,
деревня,Минская область,Тюрли,957,
деревня,Минская область,Дачный,500,
деревня,Витебская область,Октябрьская,500,
деревня,Минская область,Рудня,386,
деревня,Минская область,Вязынка,341,2010
деревня,Брестская область,Большие Радваничи,436,2009
деревня,Минская область,Дуличи,194,
городской поселок,Брестская область,Чернавчицы,2453,2009
городской поселок,Минская область,Олехновичи,1747,2013
деревня,Брестская область,Скоки,945,2009
городской поселок,Минская область,Семково,1500,
городской поселок,Минская область,Юбилейный,3181,
деревня,Минская область,Раубичи,266,
деревня,Минская область,ЭНЕРГЕТИК-ПЛЮС,2816,
городской поселок,Минская область,Острошицкий Городок,2302,2010
деревня,Брестская область,Брестский р-н п.Берестье,500,
деревня,Минская область,Сухорукие,829,
деревня,Гомельская область,Романовичи,1510,2004
городской поселок,Могилевская область,Романовичи,1306,2009
деревня,Брестская область,Тюхиничи,482,2009
городской поселок,Могилевская область,Трилесино,1247,2009
деревня,Минская область,Корсаковичи,275,
городской поселок,Гродненская область,Можейково,629,2009
деревня,Минская область,Мыслевичи,266,
городской поселок,Витебская область,Пальминка,1396,2009
деревня,Брестская область,Гусак,500,
городской поселок,Брестская область,Томашовка,1131,2009
деревня,Минская область,Раевка,624,
деревня,Гродненская область,Дубно,500,
деревня,Минская область,Острошицы,519,
городской поселок,Минская область,Синявка,1404,
деревня,Брестская область,Приозерная,500,
деревня,Минская область,Шашки,500,
деревня,Гродненская область,Копти,28,2009
деревня,Витебская область,Копти,500,
деревня,Гродненская область,Большие Эйсмонты,100,
